x,y,label
2.245565899101282,3.4222812976180843,0
3.0794447189885616,3.523451922494276,0
3.6073403081667688,3.356739718437571,0
4.363029379297618,3.3799713178614015,0
1.726809859781744,3.7706938981411353,0
1.831963768917706,4.055440050472106,0
3.54735921656906,1.5445554081666928,0
3.9515170729583056,5.018860964883444,0
2.555285847756587,1.5851049946854674,0
2.208264504627907,2.8486640970207415,0
3.18168037412328,4.764776800829365,0
0.9385020458484954,3.5350120151056124,0
3.6334754325528515,2.8036734970099895,0
2.006919478003815,2.517383950079352,0
1.8673359776086536,2.771001972718882,0
1.344529814618537,3.706823613163938,0
3.003881374347257,3.8058070828748702,0
2.780171074032115,2.98270476279195,0
4.617923553248875,4.4522685696314905,0
3.309004940517075,3.0892873397441867,0
3.626901243086181,4.025749834313687,0
2.436616119334733,2.274765275153304,0
4.194648887905563,1.542250372420255,0
2.651127923010058,1.2060243463048923,0
2.914166720789563,2.40197340702524,0
4.635142244364669,0.9460209495180245,0
3.1746954824048443,2.0223962219281555,0
1.671698082077953,2.954372128428441,0
2.89980965738406,2.2169552337741436,0
2.076967737945097,3.3919546812650787,0
1.5981405953921635,3.019545277650404,0
5.157078009295109,2.178833642679911,0
2.549168151347553,3.2653499499246803,0
2.940642849049564,1.6907360875958386,0
2.8880897993511105,1.128966702323235,0
3.900346026222155,2.741244045205652,0
3.9071861062207933,2.895690709274682,0
2.2131444800785367,2.516259993829021,0
3.2214832705384464,1.9285235048588931,0
3.451288878162197,3.556097401691152,0
3.1628622197329874,3.7785598551711796,0
2.7596600306297505,3.4491543655066383,0
3.709972452093877,1.8166972292730428,0
2.7840933654749005,2.8742122183646854,0
3.571331334051199,0.05509731198542012,0
2.1655725743293877,4.588126898899394,0
2.1368973950954655,2.341848617069584,0
3.2612233809556637,1.9393703547921575,0
2.9008811823854592,3.4140796233715394,0
2.689379411332198,3.331576262839679,0
2.0954151181979315,3.836852483754071,0
1.193301465426192,2.8652761794781547,0
0.8095985644860693,2.3885230919992835,0
3.0410781469954373,0.8977974488978364,0
3.725489744928074,0.6152410882832298,0
2.665773378158426,0.8254925461656524,0
4.315333722387967,3.5213301921636506,0
3.767710892230678,4.3421459940423555,0
5.202562814664049,1.8302623995799663,0
3.8021001967054397,2.4834654245389043,0
4.41532912257379,1.3320974229353941,0
3.953946375870463,2.524915367629429,0
3.612182805061499,3.997166406920791,0
2.978583986932379,3.2411753905320984,0
2.5880922908258577,4.724905700423241,0
3.09842928833442,2.013095232042114,0
2.988222034547462,2.812590259816309,0
2.856141719426155,2.2413535099962814,0
