物品10 74916507/100
物品67 1266823391/3000
物品39 2989165/9
物品18 97497787/300
物品85 19464163/72
物品108 1297968/5
物品7 255890
物品149 1859342/9
物品23 294012199/1500
物品110 116563313/600
物品64 201615187/1200
物品31 603129283/3600
物品82 30047453/180
物品136 22468288/135
物品48 146297333/1000
物品100 17603981/135
物品66 12951889/100
物品88 6579331/60
物品40 1476294173/13500
物品107 4713076/45
物品25 1546769/15
物品127 63360319/675
物品109 8375767/90
物品0 670156/9
物品55 13851369/200
物品4 346903/6
物品74 558647/10
物品126 980395/18
物品73 20533089/400
物品97 4456207/90
物品91 948789/20
物品138 8853668/225
物品5 12606793/360
物品84 8497177/450
物品79 3359339/180
物品6 1637923/90
物品92 87158/5
物品124 703783/45
物品78 1021421/75
物品45 236147/18
物品52 354563/45
物品145 92395/16
物品13 31321/6
物品70 14707/4
物品20 133268/45
物品106 1884
物品68 5727/4
物品125 437
物品132 383
物品3 326
