物品43 58378042/225
物品100 984389699/4500
物品71 1021523/5
物品25 1879029/10
物品4 66148391/360
物品92 50678369/300
物品95 93495727/600
物品72 5572469/36
物品65 964324481/6750
物品41 533897/4
物品63 77029649/675
物品21 2156093/20
物品78 320312564/3375
物品75 1697561/18
物品55 19715288/225
物品33 165365/2
物品2 2038936/25
物品80 16934536/225
物品87 42664273/600
物品20 951355/18
物品56 2590757/60
物品18 576032887/13500
物品81 1019468/25
物品22 4326527/120
物品24 1551241/50
物品82 6377081/225
物品9 512227/20
物品28 23162
物品54 905393/45
物品19 259403/20
物品3 25613/2
物品38 8552
物品52 3647107/450
物品15 2651
物品30 8798/5
